beauty,block_id,boredom,confusion,interest,is_reverse_scale,predictibity,question_order,response_time_unix,rt_evaluation,stim_id,stim_type,subject_id,trial_num,Seed
4,PRACTICE,3,2,4,False,6,"['q4', 'q1', 'q5', 'q3', 'q2']",1766968063.0532691,24055.100,vfe_min,practice,24,1,24
2,PRACTICE,2,5,5,False,2,"['q5', 'q1', 'q2', 'q4', 'q3']",1766968093.4573927,13925.400,vfe_mid,practice,24,2,24
1,PRACTICE,1,6,6,False,1,"['q2', 'q5', 'q4', 'q3', 'q1']",1766968124.920608,15250.000,vfe_max,practice,24,3,24
2,TYPE1,3,5,5,False,3,"['q1', 'q4', 'q2', 'q5', 'q3']",1766968187.2391248,20573.300,dof2_EH_IGL,type1,24,1,24
6,TYPE1,4,2,4,False,6,"['q2', 'q4', 'q3', 'q1', 'q5']",1766968222.142799,18383.100,dof2_IGL4_Emin,type1,24,2,24
6,TYPE1,5,2,2,False,6,"['q3', 'q2', 'q1', 'q5', 'q4']",1766968258.5919778,19777.200,dof2_IGL1_Emin,type1,24,3,24
2,TYPE1,1,6,6,False,1,"['q4', 'q3', 'q2', 'q1', 'q5']",1766968300.0402284,24646.500,dof2_EM_IGM,type1,24,4,24
3,TYPE1,2,4,6,False,3,"['q1', 'q5', 'q2', 'q3', 'q4']",1766968338.6806107,22172.600,dof2_IGL5_Emin,type1,24,5,24
1,TYPE1,2,6,6,False,4,"['q3', 'q2', 'q5', 'q1', 'q4']",1766968386.401464,30866.400,dof2_EM_IGL,type1,24,6,24
4,TYPE1,5,4,3,False,5,"['q2', 'q3', 'q1', 'q5', 'q4']",1766968446.9252052,44202.100,dof2_IGL3_Emin,type1,24,7,24
2,TYPE1,5,3,5,False,3,"['q1', 'q3', 'q4', 'q5', 'q2']",1766968489.1905189,25286.500,dof2_EL_IGM,type1,24,8,24
2,TYPE1,3,3,6,False,2,"['q4', 'q5', 'q2', 'q3', 'q1']",1766968530.1580307,24596.900,dof2_EL_IGH,type1,24,9,24
2,TYPE1,1,6,7,False,2,"['q3', 'q4', 'q2', 'q5', 'q1']",1766968565.5141459,18790.100,dof2_EM_IGH,type1,24,10,24
1,TYPE1,2,7,6,False,1,"['q4', 'q3', 'q5', 'q2', 'q1']",1766968605.494765,23685.000,dof2_EH_IGH,type1,24,11,24
6,TYPE1,7,1,3,False,7,"['q2', 'q3', 'q4', 'q5', 'q1']",1766968649.3902926,27574.500,dof2_IGL2_Emin,type1,24,12,24
3,TYPE1,2,7,5,False,1,"['q1', 'q3', 'q5', 'q2', 'q4']",1766968700.3327289,34338.200,dof2_IGL6_Emin,type1,24,13,24
2,TYPE1,4,6,5,False,2,"['q3', 'q2', 'q5', 'q1', 'q4']",1766968740.2308974,22972.400,dof2_EL_IGL,type1,24,14,24
2,TYPE1,1,7,7,False,1,"['q2', 'q3', 'q5', 'q4', 'q1']",1766968778.3405848,21580.800,dof2_EH_IGM,type1,24,15,24
5,TYPE2,3,3,5,False,5,"['q1', 'q5', 'q2', 'q3', 'q4']",1766968936.5363827,18136.200,dof3_EL_IGM,type2,24,1,24
3,TYPE2,2,6,5,False,2,"['q2', 'q5', 'q4', 'q1', 'q3']",1766968975.60236,22689.800,dof3_EL_IGL,type2,24,2,24
5,TYPE2,6,2,3,False,6,"['q4', 'q2', 'q1', 'q3', 'q5']",1766969013.0347478,20501.200,dof3_IGL2_Emin,type2,24,3,24
1,TYPE2,1,7,7,False,1,"['q5', 'q4', 'q2', 'q1', 'q3']",1766969046.8870533,17717.400,dof3_EH_IGH,type2,24,4,24
2,TYPE2,2,4,6,False,2,"['q1', 'q3', 'q2', 'q4', 'q5']",1766969085.2361197,22149.700,dof3_EH_IGM,type2,24,5,24
1,TYPE2,1,7,6,False,1,"['q4', 'q2', 'q3', 'q1', 'q5']",1766969120.2474713,17842.500,dof3_EH_IGL,type2,24,6,24
2,TYPE2,4,6,5,False,2,"['q2', 'q4', 'q1', 'q3', 'q5']",1766969164.2084708,26539.100,dof3_EM_IGH,type2,24,7,24
6,TYPE2,2,7,6,False,1,"['q1', 'q4', 'q5', 'q3', 'q2']",1766969214.7746468,34725.100,dof3_IGL6_Emin,type2,24,8,24
1,TYPE2,1,7,7,False,1,"['q5', 'q3', 'q2', 'q4', 'q1']",1766969249.5921938,18764.600,dof3_EM_IGL,type2,24,9,24
6,TYPE2,6,2,3,False,5,"['q4', 'q5', 'q2', 'q3', 'q1']",1766969290.47959,23488.700,dof3_IGL4_Emin,type2,24,10,24
3,TYPE2,2,6,6,False,2,"['q5', 'q4', 'q3', 'q2', 'q1']",1766969330.866649,23990.600,dof3_EM_IGM,type2,24,11,24
5,TYPE2,6,2,4,False,6,"['q2', 'q4', 'q5', 'q3', 'q1']",1766969369.3060884,22303.000,dof3_IGL3_Emin,type2,24,12,24
7,TYPE2,5,2,3,False,6,"['q1', 'q4', 'q3', 'q2', 'q5']",1766969411.1431634,25303.200,dof3_IGL1_Emin,type2,24,13,24
6,TYPE2,3,3,6,False,3,"['q4', 'q2', 'q3', 'q1', 'q5']",1766969485.7082179,19563.600,dof3_IGL5_Emin,type2,24,14,24
6,TYPE2,1,7,6,False,2,"['q2', 'q4', 'q3', 'q5', 'q1']",1766969529.7427466,27156.300,dof3_EL_IGH,type2,24,15,24
